Transfers of major conventional arms from All countries  to All countries . Deals with deliveries made for the year range '1950' to '1991' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 24 Dec 2025 8:08:58 AM
SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
2041,Soviet Union,Afghanistan,Yak-11,(armed) trainer aircraft,Aircraft,1955,Yes,12,Yes,1956,Yes,New,0.3,0.3,3.6,No
2037,Soviet Union,Afghanistan,IL-14,transport aircraft,Aircraft,1960,Yes,12,Yes,1961,Yes,Second hand,4,1.6,19.2,No
2037,Soviet Union,Afghanistan,IL-14,transport aircraft,Aircraft,1960,Yes,12,Yes,1962,Yes,Second hand,4,1.6,19.2,No
4365,Soviet Union,Afghanistan,V-601,SAM,Missiles,1979,Yes,150,Yes,1980,Yes,New,0.12,0.12,18,No
4365,Soviet Union,Afghanistan,V-601,SAM,Missiles,1979,Yes,150,Yes,1981,Yes,New,0.12,0.12,18,No
4366,Soviet Union,Afghanistan,S-125 Pechora,SAM system,Air-defence systems,1982,Yes,4,Yes,1983,No,New,17.5,17.5,70,No
4366,Soviet Union,Afghanistan,S-125 Pechora,SAM system,Air-defence systems,1982,Yes,4,Yes,1984,Yes,New,17.5,17.5,70,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1978,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1979,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1980,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1981,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1982,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1983,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1984,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1985,Yes,New,0.35,0.35,11.9,No
16136,Soviet Union,Afghanistan,D-30 122mm,towed gun,Artillery,1978,Yes,34,Yes,1986,Yes,New,0.35,0.35,11.9,No
